,elevation_13,slope_13,aspect_13,placurv_13,procurv_13,precipitation_mm_last_7_days,soil_tax,soil_rec_symbol,soil_rec_mat_origin,soil_rec_sew_class,soil_rec_tex_sup,soil_rec_c_tex_sup,soil_rec_tex_sub,soil_rec_c__tex_sub,soil_rec_risk_eros,soil_use,rock_type,rock_period,DecistionTree_prediction_prob,RandomForest_prediction_prob,AdaBoost_prediction_prob,XGBoost_prediction_prob,LogisticRegression_prediction_prob,SupportVectorMachine_prediction_prob,DecistionTree_class3,RandomForest_class3,AdaBoost_class3,XGBoost_class3,LogisticRegression_class3,SupportVectorMachine_class3,DecistionTree_class5,RandomForest_class5,AdaBoost_class5,XGBoost_class5,LogisticRegression_class5,SupportVectorMachine_class5,landslide,train
8767,769.0,5.710593,90.0,-0.0,-20.0,380.6055441200733,4,60,28,1,37,3,32,5,8,7,1,53,0.5529661016949152,0.8223636363636363,0.5027520625814357,0.7192808,0.9961597457016119,0.7479751911424746,Medium,High,Medium,High,High,High,Medium,Very High,Medium,High,Very High,High,1,1
3381,169.0,8.1112795,307.87497,-2.5,-2.5,10.258042484521866,7,86,49,3,1,5,3,7,3,4,2,9,0.02556818181818182,0.0,0.4872589459574625,0.0026333954,0.036826662612270085,0.025147381511618327,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
2994,500.0,5.710593,270.0,-0.0,20.0,8.194423930719495,5,54,8,2,1,5,2,7,2,7,2,53,0.17533718689788053,0.0,0.4945749858893414,0.020733692,0.10750108049449711,0.08689860169034067,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
4576,257.0,11.309933,0.0,-0.0,40.0,18.14578689541668,5,163,49,1,1,5,2,7,2,6,2,64,0.02556818181818182,0.0,0.4896810824116245,0.0023034788,0.02580458175566742,0.04953112527800284,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
5879,2313.0,15.909876,15.255118,9.72973,59.729733,70.78926702216268,2,125,12,1,23,4,2,7,2,7,1,55,0.8617245005257623,0.8583186813186814,0.502432621865585,0.91219854,0.8161475816141094,0.9293653222951214,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
3673,1005.0,0.0,270.0,0.0,0.0,14.274047784507276,3,26,22,2,35,4,35,5,2,7,1,63,0.6535269709543569,0.06645833333333333,0.4988289893038308,0.1079323,0.5222638013291518,0.3315136966413219,Medium,Low,Medium,Low,Medium,Medium,High,Very Low,Medium,Very Low,Medium,Low,0,1
3860,1024.0,11.309933,270.0,-0.0,40.0,0.0,3,81,38,1,1,5,2,7,2,7,1,77,0.12217194570135746,0.04333333333333333,0.4922235834890047,0.029220594,0.21208454994792378,0.11201770512768433,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Low,Very Low,0,1
4138,230.0,4.5202274,71.56505,-0.0,20.0,0.0,3,26,22,2,35,4,35,5,2,6,1,54,0.02556818181818182,0.1,0.4907155327389646,0.03204421,0.20081173936834673,0.05826513934979964,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Low,Very Low,0,1
552,2328.0,23.430626,33.231712,22.0,62.0,55.665213730186224,5,152,8,1,37,3,2,7,2,8,1,26,0.8617245005257623,0.22,0.5014841293243247,0.10327883,0.779275631898755,0.797532314088168,High,Low,Medium,Low,High,High,Very High,Low,Medium,Very Low,High,High,0,1
880,2269.0,33.90047,18.434948,-26.702703,-116.702705,7.959397877566516,5,19,10,1,15,3,61,4,10,6,2,53,0.4534005037783375,0.16231794871794872,0.49876332766122344,0.103617944,0.3864826800006076,0.5,Medium,Low,Medium,Low,Medium,Medium,Medium,Very Low,Medium,Very Low,Low,Medium,0,1
7474,2015.0,33.854515,206.56505,-24.0,-84.0,85.2917381376028,2,100,44,1,28,3,53,4,2,8,1,9,0.8617245005257623,0.9877143939393939,0.5043633985896535,0.9814756,0.903207976804729,0.9339235417916594,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
2505,2.0,5.0511527,261.8699,-0.0,-20.0,0.6217532679438591,7,72,47,5,1,5,2,7,4,2,2,36,0.02556818181818182,0.0,0.48738252298900464,0.0035458326,0.013584650049368471,0.022479252240728897,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
3861,120.0,2.8624053,270.0,-0.0,10.0,2.313585110940039,7,77,49,1,1,5,2,7,4,3,2,66,0.02556818181818182,0.0,0.48705491181009475,0.0012905846,0.016101672546089393,0.027532442310229773,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
4399,318.0,33.02387,90.0,-0.0,130.0,7.949644256383181,5,24,8,1,1,5,2,7,2,7,2,4,0.02556818181818182,0.0,0.4919601875132959,0.010405879,0.09577768823281108,0.08014704834988784,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
7562,2276.0,31.10577,140.04245,-21.14094,-51.14094,64.74671341013163,3,119,33,1,28,3,54,4,2,7,1,60,0.8617245005257623,0.9549659042250369,0.5028044318638403,0.9092737,0.7901259177341008,0.8381571164321131,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,High,Very High,1,1
7959,1211.0,0.0,270.0,0.0,0.0,47.10772156715393,3,96,37,2,31,3,47,4,2,6,1,36,0.8617245005257623,0.928780487804878,0.5047660052140566,0.94394,0.6132303804322512,0.7583529043016466,High,High,Medium,High,Medium,High,Very High,Very High,Medium,Very High,High,High,1,1
8979,29.0,2.8624053,90.0,-0.0,-10.0,0.0,1,24,8,1,1,5,2,7,2,6,2,78,0.02556818181818182,0.6103999999999999,0.4905033483987126,0.46265388,0.060847924327081235,0.07516186523074163,Low,Medium,Medium,Medium,Low,Low,Very Low,High,Medium,Medium,Very Low,Very Low,1,1
4255,635.0,21.99316,68.19859,-36.0,84.0,4.559972289949656,5,24,8,1,1,5,2,7,2,7,2,53,0.17533718689788053,0.03,0.49315292521833065,0.0076715243,0.09236254569942949,0.09306717361093506,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
9116,113.0,0.0,270.0,0.0,0.0,77.33543681912124,6,144,22,1,37,3,62,4,2,2,2,1,0.20710059171597633,0.86,0.4983622657008058,0.87628776,0.1884661989235306,0.20378048082075095,Low,High,Medium,High,Low,Low,Low,Very High,Medium,Very High,Very Low,Low,1,1
9256,1683.0,34.61868,84.80557,-9.593908,-139.59392,49.04222739860416,3,40,8,2,1,5,14,9,2,7,2,53,0.8617245005257623,0.9875581656738227,0.5053169705126582,0.9888728,0.5209394534450709,0.8503449206478555,High,High,Medium,High,Medium,High,Very High,Very High,Medium,Very High,Medium,Very High,1,1
4737,90.0,7.8609586,264.80557,13.5,-26.5,28.681019246578217,1,35,49,7,1,5,2,7,4,6,2,67,0.02556818181818182,0.02,0.49082263902873274,0.0024395103,0.07537225571978581,0.06904507384737248,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
1752,31.0,2.8624053,0.0,-0.0,10.0,2.098854696378112,1,24,8,1,1,5,2,7,2,7,2,69,0.02556818181818182,0.0104,0.49244105831505647,0.014673082,0.074838000324654,0.08996468347376223,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
4937,16.0,5.710593,180.0,-0.0,20.0,136.58104069530964,5,154,19,1,11,3,23,4,4,2,2,43,0.20710059171597633,0.01,0.49379199904300575,0.009247851,0.11331665155964188,0.06111967887163558,Low,Low,Medium,Low,Low,Low,Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
4216,152.0,10.073967,129.28941,-6.923077,-16.923077,26.78854893986136,2,91,43,1,37,3,56,4,4,1,2,46,0.02556818181818182,0.060833333333333336,0.49181884275095983,0.012918624,0.05691547704359866,0.04368091431446403,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
6358,2009.0,0.0,270.0,0.0,0.0,225.9464683458209,1,111,12,1,22,4,2,7,2,7,1,37,0.8617245005257623,0.9893103448275862,0.5071992401917432,0.98527247,0.9911277260544412,0.9890649834771085,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
7819,1591.0,0.0,270.0,0.0,0.0,67.71783534809947,2,11,32,1,34,3,48,6,2,4,1,30,0.8617245005257623,0.978780487804878,0.5042409146802765,0.9588112,0.8666582964287337,0.9343304644655379,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
8891,1969.0,30.027113,291.57132,24.087591,94.08759,27.064433028921485,5,19,10,1,15,3,61,4,10,7,2,26,0.8617245005257623,0.8173846153846155,0.5011433491269187,0.9552791,0.5891519582524746,0.7406900728835305,High,High,Medium,High,Medium,High,Very High,Very High,Medium,Very High,Medium,High,1,1
1014,235.0,27.238573,60.945396,20.0,20.0,55.22024668939412,5,24,8,1,1,5,2,7,2,7,2,4,0.20710059171597633,0.0,0.4955327888977009,0.013377069,0.1799373893423317,0.09861509356249464,Low,Low,Medium,Low,Low,Low,Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
7433,2768.0,25.453787,150.06848,11.235955,41.235954,104.37120146863164,3,40,8,2,1,5,14,9,2,7,2,53,0.8617245005257623,0.91,0.5065314004120451,0.98626304,0.9202349577286103,0.98642764060984,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
5676,71.0,0.0,270.0,0.0,0.0,72.32374990358949,3,145,19,1,29,3,54,4,12,2,2,43,0.20710059171597633,0.0014285714285714286,0.4963914433858196,0.014511508,0.12738326868908958,0.1016858086082712,Low,Low,Medium,Low,Low,Low,Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
9717,2470.0,33.854515,26.565052,52.739727,-107.26028,2.9986293660476804,2,109,11,1,29,3,50,4,4,7,1,56,0.4534005037783375,0.74,0.5003662822152949,0.8272551,0.621610434758707,0.37108350612234003,Medium,High,Medium,High,Medium,Medium,Medium,High,Medium,Very High,High,Low,1,1
7945,1314.0,26.565052,0.0,-0.0,100.0,59.32333984412253,3,26,22,2,35,4,35,5,2,7,1,63,0.8617245005257623,0.8893689839572193,0.5019733615393632,0.89218813,0.6299545459242165,0.5734077141470428,High,High,Medium,High,Medium,Medium,Very High,Very High,Medium,Very High,High,Medium,1,1
5782,2174.0,8.049467,135.0,-0.0,0.0,14.547492396086454,2,149,11,1,28,3,27,5,2,3,1,35,0.8617245005257623,0.89,0.5019087064353358,0.9444209,0.5079005588955783,0.6950535937170973,High,High,Medium,High,Medium,High,Very High,Very High,Medium,Very High,Medium,High,1,1
3696,564.0,16.699244,0.0,-0.0,60.0,0.0948317442089319,6,41,22,1,37,3,30,5,9,7,1,54,0.17533718689788053,0.0,0.49150674619362167,0.010458668,0.15962995444302028,0.04216993067263378,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
6587,1189.0,0.0,270.0,0.0,0.0,63.37064061779529,0,1,0,0,0,0,1,1,1,0,0,0,0.8617245005257623,1.0,0.501937047384045,0.95039326,0.4650006574351953,0.5172353107822173,High,High,Medium,High,Medium,Medium,Very High,Very High,Medium,Very High,Medium,Medium,1,1
5564,110.0,3.1996014,116.56505,-20.0,10.0,0.0,2,106,1,2,33,3,13,3,4,2,2,43,0.02556818181818182,0.0,0.4872011856902018,0.0015795602,0.02302767589850342,0.04276387444046528,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
7883,96.0,0.0,270.0,0.0,0.0,125.60225102119148,4,113,21,7,37,3,2,7,4,7,2,80,0.20710059171597633,0.93,0.5012664835648866,0.97749513,0.30399239827423075,0.3585947619495212,Low,High,Medium,High,Low,Medium,Low,Very High,Medium,Very High,Low,Low,1,1
8268,2487.0,24.227745,90.0,-0.0,90.0,56.30351690389216,2,44,11,1,11,3,41,5,11,8,1,35,0.8617245005257623,0.9155066674303466,0.5053343166610224,0.95363516,0.900791255654595,0.9027757857056068,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
5433,222.0,11.309933,0.0,-0.0,-40.0,0.641455166041851,4,157,23,1,41,3,36,5,2,7,2,2,0.02556818181818182,0.03,0.49087297627826787,0.028083371,0.09388837054416432,0.09046617652749565,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
8831,444.0,0.0,270.0,0.0,0.0,145.41407892294228,4,164,55,1,29,3,25,5,2,7,1,62,0.5529661016949152,0.9446666666666667,0.5052960111629474,0.9723272,0.6240927998708251,0.8553631066487789,Medium,High,Medium,High,Medium,High,Medium,Very High,Medium,Very High,High,Very High,1,1
4721,140.0,2.8624053,90.0,-0.0,10.0,85.37532412912697,4,91,43,1,37,3,56,4,4,2,1,15,0.20710059171597633,0.11,0.49644806201471875,0.09594462,0.3274345849292143,0.28384487700770006,Low,Low,Medium,Low,Low,Low,Low,Very Low,Medium,Very Low,Low,Low,0,1
1555,36.0,2.263636,108.43495,-0.0,-10.0,0.0399563880637288,7,72,47,5,1,5,2,7,4,2,2,41,0.02556818181818182,0.0,0.48537773904825604,0.0009038253,0.011676113274935746,0.023212194396837724,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
2902,273.0,26.565052,0.0,-0.0,100.0,0.0,5,64,23,1,1,5,2,7,9,7,2,4,0.02556818181818182,0.01,0.48834388383280464,0.0074426853,0.059264624709694354,0.061066009794159076,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
8563,1966.0,29.363798,358.72696,12.0,-118.0,63.8019072348252,3,118,62,8,44,6,64,9,13,7,2,25,0.8617245005257623,0.99,0.5055027711450253,0.9825729,0.8585748824963434,0.882361054396712,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
2067,235.0,7.333393,299.0546,10.0,-20.0,13.76844266988337,7,77,49,1,1,5,2,7,4,4,2,9,0.02556818181818182,0.0,0.48905020730931215,0.0016910157,0.04408702182326486,0.02782343491646664,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
768,1216.0,0.0,270.0,0.0,0.0,29.15439402591437,4,134,24,1,19,4,28,5,2,7,1,29,0.8617245005257623,0.2874583333333333,0.5040970005484563,0.21444903,0.5107199812691293,0.6642296416627188,High,Low,Medium,Low,Medium,High,Very High,Low,Medium,Low,Medium,High,0,1
2644,445.0,0.0,270.0,0.0,0.0,15.338345082476735,6,41,22,1,37,3,30,5,9,7,1,54,0.17533718689788053,0.12505747126436784,0.4973783353080116,0.11545076,0.2708682590116523,0.12850073779582816,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Low,Very Low,0,1
6607,552.0,19.290047,270.0,-0.0,70.0,112.48960290569812,6,128,30,1,37,3,56,4,2,6,1,15,0.5529661016949152,0.878780487804878,0.49994718019398804,0.90260607,0.6542994286192023,0.8835021906379225,Medium,High,Medium,High,Medium,High,Medium,Very High,Medium,Very High,High,Very High,1,1
1292,203.0,2.8624053,90.0,-0.0,-10.0,1.423347681760788,3,118,62,8,44,6,64,9,13,3,2,13,0.02556818181818182,0.02,0.49398294388257846,0.02761765,0.15563436061729094,0.12288849620866296,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
2011,249.0,23.273327,305.5377,9.459459,29.45946,0.3581537082791328,5,24,8,1,1,5,2,7,2,7,2,64,0.02556818181818182,0.0,0.48743957399978627,0.0039957743,0.06244936103898017,0.05129794198048876,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
4725,795.0,2.8624053,0.0,-0.0,-10.0,0.0,4,129,57,1,1,5,2,7,2,4,1,6,0.17533718689788053,0.06,0.4921694911775951,0.020976013,0.11218772873821718,0.09721427171609877,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
4775,202.0,0.0,270.0,0.0,0.0,0.4728812221437692,7,161,49,7,1,5,2,7,4,6,2,13,0.02556818181818182,0.0,0.4857206321819169,0.003367494,0.031036071752084598,0.059635679304955204,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
7357,1714.0,19.290047,90.0,13.538462,-76.46154,51.400272098369896,3,40,8,2,1,5,14,9,2,7,2,53,0.8617245005257623,0.9975581656738227,0.5053460942366369,0.978869,0.5932199264509788,0.9291798945373262,High,High,Medium,High,Medium,High,Very High,Very High,Medium,Very High,Medium,Very High,1,1
3652,316.0,0.0,270.0,0.0,0.0,2.4629061836749315,5,163,49,1,1,5,2,7,2,7,2,3,0.02556818181818182,0.0,0.4897026922063447,0.005268319,0.07108397072318662,0.054904589734753984,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
7135,2522.0,21.665758,245.85446,-34.396553,65.60345,87.02895287238061,2,45,11,1,11,3,41,5,8,7,1,9,0.8617245005257623,0.9413031615038153,0.5057686188226793,0.9736969,0.957394347551657,0.9850127980671343,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
1953,219.0,0.0,270.0,0.0,0.0,49.97870319709182,7,86,49,3,1,5,3,7,3,4,2,53,0.20710059171597633,0.0,0.49137932043033344,0.0047118864,0.052460619318116776,0.04076315676326686,Low,Low,Medium,Low,Low,Low,Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
7552,1629.0,18.445688,167.00539,9.72973,-60.27027,34.291542946361005,2,149,11,1,28,3,27,5,2,6,1,30,0.8617245005257623,0.9526991468630464,0.502532147756845,0.9442386,0.563442856556742,0.7396292439206545,High,High,Medium,High,Medium,High,Very High,Very High,Medium,Very High,Medium,High,1,1
9209,1959.0,0.0,270.0,0.0,0.0,28.1796743478626,3,127,62,8,44,6,64,9,13,7,1,53,0.8617245005257623,0.95,0.5048386562071668,0.94957596,0.8811578497938254,0.9276143496850919,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
1343,61.0,8.530766,270.0,-0.0,-30.0,81.36831239797175,1,24,8,1,1,5,2,7,2,6,2,9,0.20710059171597633,0.19076923076923077,0.4970215794336199,0.15435949,0.382144545377233,0.17660982727703745,Low,Low,Medium,Low,Medium,Low,Low,Very Low,Medium,Very Low,Low,Very Low,0,1
917,2014.0,41.987213,180.0,-0.0,180.0,15.54281387384981,3,119,33,1,28,3,54,4,2,7,1,60,0.8617245005257623,0.3192857142857143,0.50038325582663,0.19301355,0.5265337350314754,0.43884531406832256,High,Low,Medium,Low,Medium,Medium,Very High,Low,Medium,Very Low,Medium,Medium,0,1
9260,400.0,32.06707,241.38954,-71.464966,98.535034,6.3793956357985735,4,74,48,1,1,5,2,7,2,7,1,62,0.17533718689788053,0.78,0.49573554313781776,0.8655884,0.1061408331329041,0.08456902499405944,Low,High,Medium,High,Low,Low,Very Low,High,Medium,Very High,Very Low,Very Low,1,1
4913,58.0,0.0,270.0,0.0,0.0,29.94276731740684,7,16,8,7,1,5,2,7,4,3,2,13,0.02556818181818182,0.01,0.4923660242440467,0.012115928,0.06107832962859047,0.05710614930207416,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
1336,1072.0,14.036243,270.0,-0.0,-50.0,36.972884729504585,3,26,22,2,35,4,35,5,2,7,1,54,0.6535269709543569,0.10616421568627452,0.5001267522344789,0.14157784,0.6049461875385039,0.5132011977495,Medium,Low,Medium,Low,Medium,Medium,High,Very Low,Medium,Very Low,High,Medium,0,1
9331,1417.0,7.0541315,45.0,0.0,0.0,39.19416800327599,6,8,8,1,23,4,10,7,2,7,2,26,0.8617245005257623,0.95,0.503231560477255,0.9518734,0.4587530456362895,0.5155269049935597,High,High,Medium,High,Medium,Medium,Very High,Very High,Medium,Very High,Medium,Medium,1,1
4512,89.0,0.0,270.0,0.0,0.0,0.0,7,16,8,7,1,5,2,7,4,3,2,67,0.02556818181818182,0.0,0.4858946753979585,0.0010980311,0.02266119121314763,0.06819253706692983,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
4313,65.0,8.049467,135.0,-0.0,0.0,0.0275679901242256,7,131,49,7,1,5,2,7,4,3,2,67,0.02556818181818182,0.0,0.48355580444972124,0.0009549682,0.007720022255642185,0.03551554620229121,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
2586,9.0,0.0,270.0,0.0,0.0,253.9746346436441,3,154,19,1,11,3,23,4,4,1,2,42,0.20710059171597633,0.04,0.49825591114717854,0.037933186,0.5529061715056931,0.13110704434542922,Low,Low,Medium,Low,Medium,Low,Low,Very Low,Medium,Very Low,Medium,Very Low,0,1
4477,1019.0,15.938891,113.19859,-22.413794,47.58621,0.0,3,76,15,2,29,3,22,4,2,7,1,9,0.12217194570135746,0.0,0.49316668355523097,0.022540156,0.3346996514117185,0.21523765192107788,Low,Low,Medium,Low,Medium,Low,Very Low,Very Low,Medium,Very Low,Low,Low,0,1
8243,1494.0,47.68205,191.82149,-33.44,-213.44,25.56691279821098,3,148,8,1,16,3,55,5,2,7,2,1,0.8617245005257623,0.84,0.5012174929151829,0.7909054,0.38724610796646974,0.45009937835069586,High,High,Medium,High,Medium,Medium,Very High,Very High,Medium,High,Low,Medium,1,1
85,2332.0,0.0,270.0,0.0,0.0,27.189190305769444,1,22,23,1,20,4,31,5,2,7,2,53,0.8617245005257623,0.34582196969696966,0.5025832837919666,0.3561807,0.7532062011709987,0.8978300521562608,High,Medium,Medium,Medium,High,High,Very High,Low,Medium,Low,High,Very High,0,1
9420,2647.0,30.4399,178.78113,74.0,-106.0,0.0458417013287544,1,22,23,1,20,4,31,5,2,7,2,53,0.12217194570135746,0.8539130434782609,0.4957045147268745,0.90952396,0.5786533322495561,0.6329054275096608,Low,High,Medium,High,Medium,Medium,Very Low,Very High,Medium,Very High,Medium,High,1,1
8770,1177.0,30.4399,91.21887,-0.0,120.0,123.91226925794037,4,142,7,1,39,3,2,7,2,7,1,62,0.6535269709543569,0.96,0.5057696376965395,0.9450508,0.6985475689274777,0.8845143676922952,Medium,High,Medium,High,High,High,High,Very High,Medium,Very High,High,Very High,1,1
8673,699.0,2.8624053,0.0,-0.0,10.0,75.01853234134614,3,117,62,8,44,6,64,9,13,4,2,53,0.5529661016949152,0.78,0.5012438344586855,0.8864182,0.45296573017146724,0.4757041743747854,Medium,High,Medium,High,Medium,Medium,Medium,High,Medium,Very High,Medium,Medium,1,1
2038,56.0,2.8624053,0.0,-0.0,10.0,0.0,1,35,49,7,1,5,2,7,4,3,2,22,0.02556818181818182,0.0,0.4868563589988306,0.0019580165,0.03390312483561601,0.05895187500687529,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
6825,929.0,14.036243,0.0,-0.0,50.0,104.03340883366764,3,40,8,2,1,5,14,9,2,7,2,23,0.6535269709543569,0.98,0.5051116823007561,0.96225655,0.6825118545778098,0.8364675219364219,Medium,High,Medium,High,High,High,High,Very High,Medium,Very High,High,Very High,1,1
2095,86.0,2.8624053,90.0,-0.0,-10.0,0.2508829161524772,7,131,49,7,1,5,2,7,4,6,2,9,0.02556818181818182,0.0,0.48542266129808825,0.0016762615,0.025278622638951347,0.04255753874765824,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
502,2588.0,35.598537,282.09476,19.675676,109.675674,28.62913607992232,2,151,14,1,43,4,63,5,2,7,1,76,0.8617245005257623,0.26,0.5013772272595548,0.11807788,0.8447261059643159,0.6372539230138483,High,Low,Medium,Low,High,Medium,Very High,Low,Medium,Very Low,Very High,High,0,1
7926,735.0,14.036243,90.0,-0.0,50.0,38.112747761420906,3,81,38,1,1,5,2,7,2,7,1,6,0.5529661016949152,0.8315151515151515,0.4989850398666019,0.8449637,0.3804416872199689,0.24990674794811296,Medium,High,Medium,High,Medium,Low,Medium,Very High,Medium,Very High,Low,Low,1,1
6084,2459.0,0.0,270.0,0.0,0.0,83.62931557558477,2,44,11,1,11,3,41,5,11,7,1,55,0.8617245005257623,1.0,0.5070501970703951,0.9935883,0.942412617562437,0.9820801488118265,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
5372,61.0,8.530766,90.0,-0.0,-30.0,36.27828951831907,1,35,49,7,1,5,2,7,4,7,2,67,0.02556818181818182,0.02,0.49195332566761946,0.0091009,0.08246607507104206,0.0758846100903452,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
2623,123.0,6.1373796,125.53768,6.0,16.0,85.47852495964617,7,72,47,5,1,5,2,7,4,3,2,46,0.20710059171597633,0.01,0.4941873395894846,0.008358351,0.05916630987536645,0.03689295589671042,Low,Low,Medium,Low,Low,Low,Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
3538,79.0,2.8624053,90.0,-0.0,10.0,0.4304438736289739,5,24,8,1,1,5,2,7,2,6,2,3,0.02556818181818182,0.0,0.48900198019382596,0.0048232884,0.08333537050327101,0.04745117224116634,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
4900,191.0,18.56595,315.0,52.5,-47.5,3.754366443492472,4,164,55,1,29,3,25,5,2,7,1,80,0.02556818181818182,0.07,0.4972409989099855,0.029522756,0.0629093293896255,0.09863072686607559,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
3497,1150.0,2.8624053,270.0,-0.0,10.0,0.0,3,75,60,1,23,4,2,7,2,7,2,4,0.12217194570135746,0.05,0.494694047080449,0.03753756,0.2599808913155753,0.16651809682422294,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Low,Very Low,0,1
3471,655.0,39.974422,182.56377,10.844828,-169.15518,148.05561851058155,3,26,22,2,35,4,35,5,2,7,1,54,0.5529661016949152,0.12492248062015504,0.5003752734882463,0.15361954,0.7976439812470988,0.7607092083237091,Medium,Low,Medium,Low,High,High,Medium,Very Low,Medium,Very Low,High,High,0,1
1840,949.0,16.699244,270.0,-0.0,-60.0,0.0,3,81,38,1,1,5,2,7,2,8,1,9,0.12217194570135746,0.01,0.49337099254031697,0.010422287,0.3496830727800855,0.11194908021186732,Low,Low,Medium,Low,Medium,Low,Very Low,Very Low,Medium,Very Low,Low,Very Low,0,1
4655,1043.0,2.8624053,180.0,-0.0,-10.0,78.70441897772253,3,76,15,2,29,3,22,4,2,7,1,77,0.6535269709543569,0.2,0.5003049311265981,0.16009854,0.5592324333298556,0.7130949557960768,Medium,Low,Medium,Low,Medium,High,High,Very Low,Medium,Very Low,Medium,High,0,1
1633,620.0,0.0,270.0,0.0,0.0,0.2004270665347576,3,76,15,2,29,3,22,4,2,7,1,77,0.17533718689788053,0.02,0.49314361264475426,0.047148295,0.1926855051434658,0.09853031287820307,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
8271,1918.0,37.506386,353.4537,10.272374,160.27237,67.289416057989,2,7,11,1,28,4,64,9,2,7,1,48,0.8617245005257623,0.8875,0.5042958640332821,0.92546415,0.9600490685118575,0.8909263198452606,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
